Name,Personality,Species,Image
Admiral,Cranky,Bird,"<img alt=""NH-Admiral poster"" class="""" data-image-key=""NH-Admiral_poster.png"" data-image-name=""NH-Admiral poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Admiral_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013249"" width=""100""/>"
Agent S,Peppy,Squirrel,"<img alt=""NH-Agent S poster"" class="""" data-image-key=""NH-Agent_S_poster.png"" data-image-name=""NH-Agent S poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/NH-Agent_S_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184209"" width=""100""/>"
Agnes,Sisterly,Pig,"<img alt=""NH-Agnes poster"" class="""" data-image-key=""NH-Agnes_poster.png"" data-image-name=""NH-Agnes poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e8/NH-Agnes_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185748"" width=""100""/>"
Al,Lazy,Gorilla,"<img alt=""NH-Al poster"" class="""" data-image-key=""NH-Al_poster.png"" data-image-name=""NH-Al poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/90/NH-Al_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013430"" width=""100""/>"
Alfonso,Lazy,Alligator,"<img alt=""NH-Alfonso poster"" class="""" data-image-key=""NH-Alfonso_poster.png"" data-image-name=""NH-Alfonso poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-Alfonso_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013539"" width=""100""/>"
Alice,Normal,Koala,"<img alt=""NH-Alice poster"" class="""" data-image-key=""NH-Alice_poster.png"" data-image-name=""NH-Alice poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/96/NH-Alice_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013639"" width=""100""/>"
Alli,Snooty,Alligator,"<img alt=""NH-Alli poster"" class="""" data-image-key=""NH-Alli_poster.png"" data-image-name=""NH-Alli poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e8/NH-Alli_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013709"" width=""100""/>"
Amelia,Snooty,Eagle,"<img alt=""NH-Amelia poster"" class="""" data-image-key=""NH-Amelia_poster.png"" data-image-name=""NH-Amelia poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/NH-Amelia_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191249"" width=""100""/>"
Anabelle,Peppy,Anteater,"<img alt=""NH-Anabelle poster"" class="""" data-image-key=""NH-Anabelle_poster.png"" data-image-name=""NH-Anabelle poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/NH-Anabelle_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013805"" width=""100""/>"
Anchovy,Lazy,Bird,"<img alt=""NH-Anchovy poster"" class="""" data-image-key=""NH-Anchovy_poster.png"" data-image-name=""NH-Anchovy poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fc/NH-Anchovy_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013831"" width=""100""/>"
